0000. FEN: r1b1k2Q/bp1p1p2/n1pB1P1p/8/Pp6/1q2P3/2PP3P/RN2KBNR b KQ -  | Depth: 1 | Expected: 0 | Result: 0 [PASSED]
0000. FEN: r1b1k2Q/bp1p1p2/n1pB1P1p/8/Pp6/1q2P3/2PP3P/RN2KBNR b KQ -  | Depth: 2 | Expected: 0 | Result: 0 [PASSED]
0000. FEN: r1b1k2Q/bp1p1p2/n1pB1P1p/8/Pp6/1q2P3/2PP3P/RN2KBNR b KQ -  | Depth: 3 | Expected: 0 | Result: 0 [PASSED]
0000. FEN: r1b1k2Q/bp1p1p2/n1pB1P1p/8/Pp6/1q2P3/2PP3P/RN2KBNR b KQ -  | Depth: 4 | Expected: 0 | Result: 0 [PASSED]
0000. FEN: r1b1k2Q/bp1p1p2/n1pB1P1p/8/Pp6/1q2P3/2PP3P/RN2KBNR b KQ -  | Depth: 5 | Expected: 0 | Result: 0 [PASSED]
0001. FEN: 1nk2Q2/4R3/8/7K/4P3/8/8/8 b - -  | Depth: 1 | Expected: 0 | Result: 0 [PASSED]
0001. FEN: 1nk2Q2/4R3/8/7K/4P3/8/8/8 b - -  | Depth: 2 | Expected: 0 | Result: 0 [PASSED]
0001. FEN: 1nk2Q2/4R3/8/7K/4P3/8/8/8 b - -  | Depth: 3 | Expected: 0 | Result: 0 [PASSED]
0001. FEN: 1nk2Q2/4R3/8/7K/4P3/8/8/8 b - -  | Depth: 4 | Expected: 0 | Result: 0 [PASSED]
0001. FEN: 1nk2Q2/4R3/8/7K/4P3/8/8/8 b - -  | Depth: 5 | Expected: 0 | Result: 0 [PASSED]
0002. FEN: 3Qk1B1/r7/2p1p1p1/ppP1P1Bp/PP6/3RKP1P/6P1/1N4R1 b - -  | Depth: 1 | Expected: 0 | Result: 0 [PASSED]
0002. FEN: 3Qk1B1/r7/2p1p1p1/ppP1P1Bp/PP6/3RKP1P/6P1/1N4R1 b - -  | Depth: 2 | Expected: 0 | Result: 0 [PASSED]
0002. FEN: 3Qk1B1/r7/2p1p1p1/ppP1P1Bp/PP6/3RKP1P/6P1/1N4R1 b - -  | Depth: 3 | Expected: 0 | Result: 0 [PASSED]
0002. FEN: 3Qk1B1/r7/2p1p1p1/ppP1P1Bp/PP6/3RKP1P/6P1/1N4R1 b - -  | Depth: 4 | Expected: 0 | Result: 0 [PASSED]
0002. FEN: 3Qk1B1/r7/2p1p1p1/ppP1P1Bp/PP6/3RKP1P/6P1/1N4R1 b - -  | Depth: 5 | Expected: 0 | Result: 0 [PASSED]
0003. FEN: 5k2/4R1q1/8/8/P3p2r/1p1P4/7K/1r6 w - -  | Depth: 1 | Expected: 0 | Result: 0 [PASSED]
0003. FEN: 5k2/4R1q1/8/8/P3p2r/1p1P4/7K/1r6 w - -  | Depth: 2 | Expected: 0 | Result: 0 [PASSED]
0003. FEN: 5k2/4R1q1/8/8/P3p2r/1p1P4/7K/1r6 w - -  | Depth: 3 | Expected: 0 | Result: 0 [PASSED]
0003. FEN: 5k2/4R1q1/8/8/P3p2r/1p1P4/7K/1r6 w - -  | Depth: 4 | Expected: 0 | Result: 0 [PASSED]
0003. FEN: 5k2/4R1q1/8/8/P3p2r/1p1P4/7K/1r6 w - -  | Depth: 5 | Expected: 0 | Result: 0 [PASSED]
0004. FEN: 8/8/Q5RP/k1B5/3P4/8/8/bK6 b - -  | Depth: 1 | Expected: 0 | Result: 0 [PASSED]
0004. FEN: 8/8/Q5RP/k1B5/3P4/8/8/bK6 b - -  | Depth: 2 | Expected: 0 | Result: 0 [PASSED]
0004. FEN: 8/8/Q5RP/k1B5/3P4/8/8/bK6 b - -  | Depth: 3 | Expected: 0 | Result: 0 [PASSED]
0004. FEN: 8/8/Q5RP/k1B5/3P4/8/8/bK6 b - -  | Depth: 4 | Expected: 0 | Result: 0 [PASSED]
0004. FEN: 8/8/Q5RP/k1B5/3P4/8/8/bK6 b - -  | Depth: 5 | Expected: 0 | Result: 0 [PASSED]
0005. FEN: b6K/8/7k/6r1/2n5/2p3b1/8/2r4n w - -  | Depth: 1 | Expected: 0 | Result: 0 [PASSED]
0005. FEN: b6K/8/7k/6r1/2n5/2p3b1/8/2r4n w - -  | Depth: 2 | Expected: 0 | Result: 0 [PASSED]
0005. FEN: b6K/8/7k/6r1/2n5/2p3b1/8/2r4n w - -  | Depth: 3 | Expected: 0 | Result: 0 [PASSED]
0005. FEN: b6K/8/7k/6r1/2n5/2p3b1/8/2r4n w - -  | Depth: 4 | Expected: 0 | Result: 0 [PASSED]
0005. FEN: b6K/8/7k/6r1/2n5/2p3b1/8/2r4n w - -  | Depth: 5 | Expected: 0 | Result: 0 [PASSED]
0006. FEN: 8/3q1k2/2n5/4KP1p/3r4/8/7R/8 w - -  | Depth: 1 | Expected: 0 | Result: 0 [PASSED]
0006. FEN: 8/3q1k2/2n5/4KP1p/3r4/8/7R/8 w - -  | Depth: 2 | Expected: 0 | Result: 0 [PASSED]
0006. FEN: 8/3q1k2/2n5/4KP1p/3r4/8/7R/8 w - -  | Depth: 3 | Expected: 0 | Result: 0 [PASSED]
0006. FEN: 8/3q1k2/2n5/4KP1p/3r4/8/7R/8 w - -  | Depth: 4 | Expected: 0 | Result: 0 [PASSED]
0006. FEN: 8/3q1k2/2n5/4KP1p/3r4/8/7R/8 w - -  | Depth: 5 | Expected: 0 | Result: 0 [PASSED]
0007. FEN: N4Q1k/8/8/8/4B3/1p3K2/7p/8 b - -  | Depth: 1 | Expected: 0 | Result: 0 [PASSED]
0007. FEN: N4Q1k/8/8/8/4B3/1p3K2/7p/8 b - -  | Depth: 2 | Expected: 0 | Result: 0 [PASSED]
0007. FEN: N4Q1k/8/8/8/4B3/1p3K2/7p/8 b - -  | Depth: 3 | Expected: 0 | Result: 0 [PASSED]
